GEO_ID,County Name/State Abbreviation,Force,Employed,Unemployed,Unemployment /,Unemployment %, 
,,,,,,,
13001,"Appling County, GA","9,151","8,798",353,0.038575019,3.9,
13003,"Atkinson County, GA","4,551","4,414",137,0.030103274,3,
13005,"Bacon County, GA","4,686","4,496",190,0.040546308,4.1,
13007,"Baker County, GA","1,179","1,116",63,0.053435115,5.3,
13009,"Baldwin County, GA","17,783","16,704","1,079",0.060675926,6.1,
13011,"Banks County, GA","10,212","9,915",297,0.029083431,2.9,
13013,"Barrow County, GA","40,485","38,934","1,551",0.038310485,3.8,
13015,"Bartow County, GA","50,026","47,705","2,321",0.046395874,4.6,
13017,"Ben Hill County, GA","5,505","5,141",364,0.066121708,6.6,
13019,"Berrien County, GA","7,691","7,373",318,0.041347029,4.1,
13021,"Bibb County, GA","68,694","64,045","4,649",0.067676944,6.8,
13023,"Bleckley County, GA","4,599","4,337",262,0.056968906,5.7,
13025,"Brantley County, GA","7,121","6,822",299,0.041988485,4.2,
13027,"Brooks County, GA","7,156","6,828",328,0.045835662,4.6,
13029,"Bryan County, GA","19,174","18,415",759,0.039584854,4,
13031,"Bulloch County, GA","38,111","36,073","2,038",0.053475375,5.3,
13033,"Burke County, GA","9,219","8,623",596,0.064649094,6.5,
13035,"Butts County, GA","10,894","10,311",583,0.053515697,5.4,
13037,"Calhoun County, GA","2,320","2,217",103,0.044396552,4.4,
13039,"Camden County, GA","21,565","20,786",779,0.036123348,3.6,
13043,"Candler County, GA","5,739","5,509",230,0.040076668,4,
13045,"Carroll County, GA","54,962","52,224","2,738",0.049816237,5,
13047,"Catoosa County, GA","33,189","32,236",953,0.028714333,2.9,
13049,"Charlton County, GA","4,956","4,809",147,0.029661017,3,
13051,"Chatham County, GA","143,516","134,871","8,645",0.060237186,6,
13053,"Chattahoochee County, GA","2,004","1,893",111,0.055389222,5.5,
13055,"Chattooga County, GA","9,659","9,114",545,0.05642406,5.6,
13057,"Cherokee County, GA","134,177","129,505","4,672",0.034819678,3.5,
13059,"Clarke County, GA","59,196","56,184","3,012",0.050881816,5.1,
13061,"Clay County, GA",910,805,105,0.115384615,11.5,
13063,"Clayton County, GA","141,748","128,210","13,538",0.09550752,9.6,
13065,"Clinch County, GA","3,059","2,956",103,0.033671134,3.4,
13067,"Cobb County, GA","418,253","398,847","19,406",0.046397754,4.6,
13069,"Coffee County, GA","19,410","18,451",959,0.049407522,4.9,
13071,"Colquitt County, GA","22,654","21,790",864,0.03813896,3.8,
13073,"Columbia County, GA","75,500","73,160","2,340",0.030993377,3.1,
13075,"Cook County, GA","8,331","7,986",345,0.041411595,4.1,
13077,"Coweta County, GA","74,474","70,995","3,479",0.04671429,4.7,
13079,"Crawford County, GA","5,587","5,365",222,0.039735099,4,
13081,"Crisp County, GA","9,787","8,999",788,0.080514969,8.1,
13083,"Dade County, GA","8,040","7,803",237,0.029477612,2.9,
13085,"Dawson County, GA","12,463","12,027",436,0.034983551,3.5,
13087,"Decatur County, GA","11,510","11,010",500,0.043440487,4.3,
13089,"DeKalb County, GA","399,833","372,464","27,369",0.068451078,6.8,
13091,"Dodge County, GA","7,093","6,742",351,0.049485408,4.9,
13093,"Dooly County, GA","4,984","4,663",321,0.0644061,6.4,
13095,"Dougherty County, GA","38,116","35,023","3,093",0.081147025,8.1,
13097,"Douglas County, GA","73,062","68,455","4,607",0.063056035,6.3,
13099,"Early County, GA","4,479","4,213",266,0.059388256,5.9,
13101,"Echols County, GA","1,990","1,926",64,0.032160804,3.2,
13103,"Effingham County, GA","32,187","30,965","1,222",0.037965638,3.8,
13105,"Elbert County, GA","8,035","7,537",498,0.061978843,6.2,
13107,"Emanuel County, GA","8,750","8,165",585,0.066857143,6.7,
13109,"Evans County, GA","5,174","4,931",243,0.046965597,4.7,
13111,"Fannin County, GA","11,387","11,013",374,0.032844472,3.3,
13113,"Fayette County, GA","56,916","54,602","2,314",0.040656406,4.1,
13115,"Floyd County, GA","43,657","41,677","1,980",0.045353552,4.5,
13117,"Forsyth County, GA","121,983","118,044","3,939",0.032291385,3.2,
13119,"Franklin County, GA","10,050","9,606",444,0.044179104,4.4,
13121,"Fulton County, GA","562,908","524,341","38,567",0.06851386,6.9,
13123,"Gilmer County, GA","12,152","11,732",420,0.034562212,3.5,
13125,"Glascock County, GA","1,262","1,224",38,0.030110935,3,
13127,"Glynn County, GA","38,483","36,511","1,972",0.051243406,5.1,
13129,"Gordon County, GA","28,572","27,424","1,148",0.040179196,4,
13131,"Grady County, GA","10,883","10,477",406,0.03730589,3.7,
13133,"Greene County, GA","7,071","6,704",367,0.051902135,5.2,
13135,"Gwinnett County, GA","485,551","461,315","24,236",0.049914427,5,
13137,"Habersham County, GA","18,742","17,974",768,0.040977484,4.1,
13139,"Hall County, GA","104,150","100,633","3,517",0.033768603,3.4,
13141,"Hancock County, GA","2,595","2,375",220,0.08477842,8.5,
13143,"Haralson County, GA","12,350","11,796",554,0.0448583,4.5,
13145,"Harris County, GA","16,522","15,993",529,0.032017916,3.2,
13147,"Hart County, GA","11,570","11,071",499,0.043128781,4.3,
13149,"Heard County, GA","5,179","4,916",263,0.050782004,5.1,
13151,"Henry County, GA","116,378","109,220","7,158",0.06150647,6.2,
13153,"Houston County, GA","71,805","68,759","3,046",0.042420444,4.2,
13155,"Irwin County, GA","3,567","3,400",167,0.046818054,4.7,
13157,"Jackson County, GA","42,076","40,817","1,259",0.029922046,3,
13159,"Jasper County, GA","6,859","6,584",275,0.040093308,4,
13161,"Jeff Davis County, GA","6,140","5,865",275,0.044788274,4.5,
13163,"Jefferson County, GA","6,748","6,351",397,0.058832247,5.9,
13165,"Jenkins County, GA","3,259","3,091",168,0.051549555,5.2,
13167,"Johnson County, GA","4,167","3,987",180,0.043196544,4.3,
13169,"Jones County, GA","13,594","13,098",496,0.036486685,3.6,
13171,"Lamar County, GA","8,081","7,651",430,0.053211236,5.3,
13173,"Lanier County, GA","3,869","3,695",174,0.044972861,4.5,
13175,"Laurens County, GA","19,947","18,896","1,051",0.052689628,5.3,
13177,"Lee County, GA","14,829","14,314",515,0.034729247,3.5,
13179,"Liberty County, GA","26,145","24,762","1,383",0.052897303,5.3,
13181,"Lincoln County, GA","3,566","3,411",155,0.043466068,4.3,
13183,"Long County, GA","8,308","8,014",294,0.035387578,3.5,
13185,"Lowndes County, GA","53,380","50,705","2,675",0.050112402,5,
13187,"Lumpkin County, GA","16,602","16,084",518,0.03120106,3.1,
13189,"McDuffie County, GA","8,774","8,230",544,0.062001368,6.2,
13191,"McIntosh County, GA","6,068","5,777",291,0.047956493,4.8,
13193,"Macon County, GA","4,710","4,408",302,0.064118896,6.4,
13195,"Madison County, GA","13,218","12,704",514,0.038886367,3.9,
13197,"Marion County, GA","3,209","3,076",133,0.041445933,4.1,
13199,"Meriwether County, GA","8,893","8,265",628,0.070617339,7.1,
13201,"Miller County, GA","2,832","2,734",98,0.03460452,3.5,
13205,"Mitchell County, GA","8,392","7,871",521,0.062082936,6.2,
13207,"Monroe County, GA","12,936","12,397",539,0.041666667,4.2,
13209,"Montgomery County, GA","3,994","3,820",174,0.043565348,4.4,
13211,"Morgan County, GA","9,290","8,883",407,0.043810549,4.4,
13213,"Murray County, GA","15,447","14,626",821,0.053149479,5.3,
13215,"Muscogee County, GA","77,183","72,106","5,077",0.065778734,6.6,
13217,"Newton County, GA","52,511","49,323","3,188",0.060711089,6.1,
13219,"Oconee County, GA","19,595","19,091",504,0.025720847,2.6,
13221,"Oglethorpe County, GA","6,943","6,691",252,0.036295549,3.6,
13223,"Paulding County, GA","86,107","82,569","3,538",0.041088413,4.1,
13225,"Peach County, GA","12,111","11,451",660,0.054495913,5.4,
13227,"Pickens County, GA","15,066","14,535",531,0.035244922,3.5,
13229,"Pierce County, GA","8,687","8,363",324,0.037297111,3.7,
13231,"Pike County, GA","8,790","8,475",315,0.035836177,3.6,
13233,"Polk County, GA","18,544","17,683",861,0.046430112,4.6,
13235,"Pulaski County, GA","4,078","3,926",152,0.037273173,3.7,
13237,"Putnam County, GA","8,293","7,861",432,0.052092126,5.2,
13239,"Quitman County, GA",815,771,44,0.05398773,5.4,
13241,"Rabun County, GA","7,278","7,017",261,0.0358615,3.6,
13243,"Randolph County, GA","2,516","2,378",138,0.054848967,5.5,
13245,"Richmond County, GA","86,414","80,685","5,729",0.066297128,6.6,
13247,"Rockdale County, GA","44,531","41,586","2,945",0.066133705,6.6,
13249,"Schley County, GA","2,175","2,098",77,0.035402299,3.5,
13251,"Screven County, GA","5,152","4,802",350,0.067934783,6.8,
13253,"Seminole County, GA","3,118","2,978",140,0.044900577,4.5,
