OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
2776,37,119,003017,2,371190030172,Block Group 2,"Block Group 2, Census Tract 30.17, Mecklenburg County, North Carolina",2774,1048,1073,0.02329916,0.95867769,2500,80,0,124,0,0,70,19,1048,11,636,284,1287,567,238,414,136,165,75,20,0,1.00668565,2755.57717546,2349,40,45,28064673.0051578,23603.6324834576
2777,37,119,001912,4,371190019124,Block Group 4,"Block Group 4, Census Tract 19.12, Mecklenburg County, North Carolina",3139,1002,1085,0.0764977,0.16529774,266,2251,51,38,0,402,131,561,1002,0,912,878,1218,131,339,253,175,113,31,0,91,0.28217313,11124.37601695,1991,861,31.5,7866503.93408887,12727.9766962959
2778,37,119,006211,1,371190062111,Block Group 1,"Block Group 1, Census Tract 62.11, Mecklenburg County, North Carolina",3663,1260,1325,0.0490566,0.74436674,2880,465,1,39,0,60,218,254,1260,8,1138,570,1691,264,184,417,277,262,106,14,0,1.32310769,2768.48213315,3100,520,38.1,36885977.8850115,26149.7957155248
2779,37,119,005706,2,371190057062,Block Group 2,"Block Group 2, Census Tract 57.06, Mecklenburg County, North Carolina",1610,600,600,0,0.62311558,1066,149,0,95,0,226,74,251,600,0,429,205,698,278,188,147,120,130,0,0,15,2.20427214,730.39983167,1478,310,43.6,61451334.7023066,37634.1598937004
2780,37,119,001608,1,371190016081,Block Group 1,"Block Group 1, Census Tract 16.08, Mecklenburg County, North Carolina",2722,888,1012,0.12252964,0.23529412,641,1051,0,210,0,765,55,1125,888,8,914,695,966,147,333,188,72,176,75,13,31,0.4207675,6469.13081452,2503,176,29.6,11730277.6230256,16211.8555050495
2781,37,119,005308,1,371190053081,Block Group 1,"Block Group 1, Census Tract 53.08, Mecklenburg County, North Carolina",2071,754,805,0.06335404,0.0528,663,691,0,0,6,707,4,1162,754,0,781,544,650,96,326,153,103,83,47,13,29,0.1975455,10483.66072626,1819,-166,28.3,5507230.40037617,14197.0886069224
2782,37,119,001507,3,371190015073,Block Group 3,"Block Group 3, Census Tract 15.07, Mecklenburg County, North Carolina",1400,507,591,0.14213198,0.14778325,248,995,40,0,0,103,14,308,507,0,392,453,454,101,158,184,38,91,19,17,0,0.32532772,4303.352939,1405,-477,26,9069580.1649748,13510.847104346
2783,37,119,006010,1,371190060101,Block Group 1,"Block Group 1, Census Tract 60.10, Mecklenburg County, North Carolina",1809,766,823,0.06925881,0.89934354,1190,565,0,0,0,0,54,0,766,0,394,371,678,366,219,328,107,69,43,0,0,1.16118457,1557.89186899,1694,696,41.7,32371838.4637732,25716.2278291592
2784,37,119,002100,1,371190021001,Block Group 1,"Block Group 1, Census Tract 21, Mecklenburg County, North Carolina",915,420,461,0.08893709,0.37037037,276,407,0,0,0,104,128,128,420,0,261,222,394,38,160,117,117,26,0,0,0,0.1552573,5893.44269158,640,223,33.4,4328307.67279102,8252.39481716869
2785,37,119,005100,1,371190051001,Block Group 1,"Block Group 1, Census Tract 51, Mecklenburg County, North Carolina",1043,379,442,0.14253394,0.43731778,92,778,5,59,0,71,38,71,379,160,262,303,419,59,171,91,39,38,40,0,0,1.73298764,601.85080143,1351,-234,33.8,48312729.3825988,31489.9702569614
2786,37,119,005825,1,371190058251,Block Group 1,"Block Group 1, Census Tract 58.25, Mecklenburg County, North Carolina",3518,1617,1705,0.0516129,0.26234766,1789,1330,0,324,0,0,75,360,1617,0,696,796,1077,949,871,303,179,144,83,37,0,1.01823551,3454.99637898,2460,661,38,28386663.3949145,34802.7433724094
2787,37,119,003013,2,371190030132,Block Group 2,"Block Group 2, Census Tract 30.13, Mecklenburg County, North Carolina",2354,970,970,0,0.90142276,2086,0,0,268,0,0,0,0,970,0,506,399,1034,415,252,316,208,168,26,0,0,1.07681576,2186.07498835,2405,-101,45.2,30019780.4847982,30047.5053738917
2788,37,119,003806,2,371190038062,Block Group 2,"Block Group 2, Census Tract 38.06, Mecklenburg County, North Carolina",1621,461,575,0.19826087,0.48545861,669,570,237,0,0,145,0,732,461,0,408,268,715,230,49,153,137,78,29,0,15,1.31153417,1235.9571234,1587,123,39.6,36563328.078976,30252.4087405062
2789,37,119,003600,3,371190036003,Block Group 3,"Block Group 3, Census Tract 36, Mecklenburg County, North Carolina",878,350,364,0.03846154,0.35164835,93,785,0,0,0,0,0,49,350,0,204,291,281,102,127,104,101,10,0,0,8,0.2373938,3698.49591691,935,54,31.9,6618132.88695215,13364.8399081586
2790,37,119,005200,2,371190052002,Block Group 2,"Block Group 2, Census Tract 52, Mecklenburg County, North Carolina",619,258,277,0.06859206,0.30487805,40,538,0,0,0,0,41,32,258,0,139,231,186,63,152,43,10,32,10,0,11,0.20010402,3093.39112727,583,109,31.1,5578557.56155332,9799.60819100887
2791,37,119,003203,1,371190032031,Block Group 1,"Block Group 1, Census Tract 32.03, Mecklenburg County, North Carolina",1719,993,1046,0.05066922,0.17316017,1275,269,0,83,0,48,44,181,993,0,119,951,532,117,500,420,16,46,0,11,0,0.25443667,6756.10162639,1692,-87,31.4,7093258.76214414,10755.5930621617
2792,37,119,004200,3,371190042003,Block Group 3,"Block Group 3, Census Tract 42, Mecklenburg County, North Carolina",438,193,245,0.2122449,0.46551724,15,370,0,20,0,16,17,16,193,0,50,104,205,79,97,72,16,0,0,0,8,0.22267942,1966.95321014,595,-53,43.1,6207921.07741387,10161.2003545341
2793,37,119,003805,1,371190038051,Block Group 1,"Block Group 1, Census Tract 38.05, Mecklenburg County, North Carolina",3196,1267,1394,0.09110473,0.11623616,1347,493,3,1133,0,161,59,543,1267,0,472,1987,660,77,428,437,276,65,0,20,41,3.19260158,1001.06446731,1824,628,27.5,89004267.9222967,39596.9065987308
2794,37,119,001912,2,371190019122,Block Group 2,"Block Group 2, Census Tract 19.12, Mecklenburg County, North Carolina",1239,360,396,0.09090909,0.34666667,53,604,0,49,0,533,0,533,360,0,488,415,314,22,70,84,61,82,63,0,0,0.35274881,3512.41440049,805,-40,24.4,9834032.98417305,17281.6040778232
2795,37,119,004100,2,371190041002,Block Group 2,"Block Group 2, Census Tract 41, Mecklenburg County, North Carolina",1813,963,1170,0.17692308,0.39885714,1168,496,0,66,0,30,53,70,963,0,85,955,671,102,392,481,90,0,0,0,0,0.44034492,4117.22701377,1211,547,32.7,12276062.7791113,15281.0549219647
2796,37,119,001914,2,371190019142,Block Group 2,"Block Group 2, Census Tract 19.14, Mecklenburg County, North Carolina",1564,594,616,0.03571429,0.81161695,1110,131,0,211,0,104,8,125,594,0,237,372,650,305,137,265,83,70,0,27,12,0.61994408,2522.80818618,1468,200,42.7,17282979.8254889,19813.7659883318
2797,37,119,003600,2,371190036002,Block Group 2,"Block Group 2, Census Tract 36, Mecklenburg County, North Carolina",839,541,697,0.22381636,0.28625235,539,252,0,23,0,8,17,26,541,0,19,445,289,86,370,130,41,0,0,0,0,0.44151221,1900.28719704,879,164,32.4,12308604.8555682,21121.6396618817
2798,37,119,005620,3,371190056203,Block Group 3,"Block Group 3, Census Tract 56.20, Mecklenburg County, North Carolina",2382,807,807,0,0.83600917,1060,1011,251,0,0,0,60,585,807,14,674,341,1277,90,73,271,321,123,19,0,0,0.93653992,2543.40466341,2414,186,39.3,26109130.1200795,23424.6126189396
2799,37,119,005711,1,371190057111,Block Group 1,"Block Group 1, Census Tract 57.11, Mecklenburg County, North Carolina",494,167,220,0.24090909,0.93055556,379,19,0,10,0,0,86,0,167,0,60,86,204,144,30,61,49,9,18,0,0,0.75010852,658.57137578,625,-97,51.5,20911741.7949676,19691.9704580537
2800,37,119,003400,4,371190034004,Block Group 4,"Block Group 4, Census Tract 34, Mecklenburg County, North Carolina",1261,688,825,0.16606061,0.63599182,1117,15,0,12,0,95,22,191,688,0,176,441,552,92,356,249,21,24,38,0,0,0.2739279,4603.40111394,867,-13,35.2,7636640.93958809,15535.1256871346
2801,37,119,005906,2,371190059062,Block Group 2,"Block Group 2, Census Tract 59.06, Mecklenburg County, North Carolina",822,235,235,0,0.55144033,310,0,0,70,0,416,26,498,235,0,322,123,331,46,24,56,15,114,17,9,0,2.57452032,319.28277808,698,38,33.3,71773220.1719225,40314.6777844815
2802,37,119,005846,1,371190058461,Block Group 1,"Block Group 1, Census Tract 58.46, Mecklenburg County, North Carolina",1666,564,572,0.01398601,0.98269896,1410,160,0,87,0,0,9,55,564,0,505,103,927,131,50,218,110,138,36,12,0,0.72577048,2295.49154438,1694,151,47.2,20233238.7428186,24039.8148836222
2803,37,119,003007,4,371190030074,Block Group 4,"Block Group 4, Census Tract 30.07, Mecklenburg County, North Carolina",949,447,598,0.25250836,0.6661442,847,75,0,0,0,0,27,74,447,0,252,63,545,89,197,148,38,16,48,0,0,0.55937324,1696.54165079,1410,184,46.6,15594368.4914361,19798.64862138
2804,37,119,002905,2,371190029052,Block Group 2,"Block Group 2, Census Tract 29.05, Mecklenburg County, North Carolina",1438,637,715,0.10909091,0.57024793,1412,9,0,17,0,0,0,60,637,0,415,164,515,344,274,160,63,79,41,20,0,0.59456902,2418.55857206,1181,77,38.6,16575566.66461,21385.8448049472
2805,37,119,005404,2,371190054042,Block Group 2,"Block Group 2, Census Tract 54.04, Mecklenburg County, North Carolina",1965,813,866,0.06120092,0.65520945,504,1125,0,138,0,178,20,270,813,0,304,529,917,215,305,253,168,61,0,19,7,0.87628145,2242.43021463,2220,-94,43.7,24429227.096601,19896.2579110444
2806,37,119,005308,2,371190053082,Block Group 2,"Block Group 2, Census Tract 53.08, Mecklenburg County, North Carolina",646,305,378,0.19312169,0,55,244,0,0,0,337,10,389,305,0,188,211,223,24,146,83,49,27,0,0,0,0.10396723,6213.49631033,564,384,30.3,2898428.31946973,8243.56231045985
