X,Y,OBJECTID,Name
1436112,634115.0003,564,Harris Teeter
1441959,637717.0003,1151,Ferrucci's Old Tyme Italian Market
1446317,635908.0004,5577,Food Lion
1446377,642277.0001,6031,Harris Teeter
1445532,621782.0004,6886,Harris Teeter
1445630,621417.0001,6899,Target
1442582,621789.0004,6930,Whole Foods Market
1436527,622811.0003,6967,Harris Teeter
1437753,633312.0003,8423,Publix
1451184,614764.0003,15426,La Pasadita
1438664,600253.0001,18042,Tesh's Grocery
1445247,609029.0003,20190,Harris Teeter
1444522,608811.0001,20204,Publix
1443181,590049.0002,23248,Food Lion
1468757,575808.0002,25298,Harris Teeter
1472333,584636.0002,33540,The Fresh Market
1417915,576757.0002,38753,Bi-Lo
1419692,578051.0003,41936,Harris Teeter
1452365,560853.0002,49216,Jerry's Market
1450852,571578.0001,50448,JustSave Foods
1462579,569625.0004,52574,Save-A-Lot
1460763,569008.0003,54133,La Preferida
1476622,574097.0003,57791,Sam's Club
1479586,573715.0001,58178,Food Lion
1479120,565994.0001,60605,Target
1481341,567276.0002,60710,Harris Teeter
1478676,567701.0003,60746,India Grocers
1492869,574038.0001,65036,Food Lion
1414559,559724.0002,67418,Food Lion
1421277,549845.0002,67998,Food Lion
1434145,542603.0003,72113,Walmart Supercenter
1433285,547747.0002,73125,Harveys
1431582,549947.0004,73159,Food Lion
1431582,549947.0004,73159,La Acapulquena
1438578,546511.0003,75353,Aldi
1439497,544534.0004,77217,Columbus Circle Grocery
1437010,546370.0003,77510,Compare Foods
1445947,556252.0002,79779,Food Lion
1457343,550855.0002,86115,Southland Supermarket
1457072,549868.0002,86142,1 Stop
1453922,549941.0004,86265,Wayne's Super Market
1459153,550804.0003,88767,BargainMax
1461858,546001.0004,89950,Savanh Borkeo Market
1462702,546796.0001,90097,Food Lion
1464623,553528.0001,93936,Compare Foods
1463997,548220.0002,94102,Mike's Grocery
1466480,549413.0001,94589,Sierra International Market
1464073,547653.0004,95012,Giant Penny 
1469091,551423.0004,99640,Save-A-Lot
1468702,550162.0003,101031,Asian Market
1481285,545141.0001,103532,Compare Foods
1484115,541301.0003,103952,Food Lion
1470008,542469.0002,105108,Kilborne Mart
1471952,537573.0002,106005,Sav-Way
1478416,533764.0003,106463,Island Grocery & Grill
1480811,533694.0004,107517,Save-A-Lot
1480085,533530.0004,107532,Carniceria Jalisco
1484137,558752.0001,108635,Food Lion
1477391,549960.0003,109399,Mas Por Menos
1482309,553205.0001,109879,Food Lion
1495161,536790.0001,113449,Food Lion
1495549,536917.0002,113450,Wal-Mart Super Center
1495121,528060.0002,115122,Food Lion
1500973,534365.0004,115532,Perry's Market
1443540,535319.0001,119940,Publix
1449005,534131.0002,122001,Harris Teeter
1452110,538155.0003,122169,Target
1467466,537302.0004,125106,Atlantic Farmers Market
1473833,536574.0002,125535,La Luna
1468244,536455.0001,125710,Food Lion
1473996,533380.0004,126335,Nile Grocery & Cafe
1480925,532826.0002,128284,Harveys
1481901,532705.0001,128285,Aldi
1484025,532482.0002,129032,Walmart Neighborhood Market
1503681,521913.0003,132233,Harris Teeter
1439742,527282.0001,141310,Anh Dao Sakura Oriental Market
1448930,532776.0003,143422,The Fresh Market 
1455085,533511.0001,146351,Laurel Market
1463116,529725.0001,147623,Food Lion
1483365,526585.0002,151976,Food Lion
1438524,520083.0004,156352,Aldi
1439601.958,523387.792,157886,Mas Por Menos
1446897,520862.0001,158409,Pasta & Provisions
1439591,516934.0001,160197,Food Lion
1439314,514516.0004,160548,Romero's Super Market
1447091,523999.0001,164634,Harris Teeter
1461828,524419.0002,167766,Harris Teeter
1454289,515520.0003,169376,Harris Teeter
1463621,516748.0002,170776,The Fresh Market
1475224,525727.0002,176082,Dollar Grocery
1489297,522255.0003,177291,Harris Teeter
1481447,509400.0001,177615,Healthy Home Market
1480239,510665.0002,177636,Harris Teeter
1489883,503809.0001,178371,Target
1489883,503809.0001,178371,Target
1488526,508747.0001,178394,Sam's Club
1490326,506652.0003,181243,Costco
1419830,509553.0001,186242,Food Lion
1415135,504318.0001,186551,Aldi
1405471,499069.0001,186985,Publix
1423135,513677.0001,187795,Publix
1421904,513903.0003,187807,Walmart Supercenter
1435746,493103.0002,191043,India Grocers
1438492,509586.0004,191434,Compare Foods
1438164,499679.0002,191676,Target
1437935,493071.0003,191697,Kmart
1438468,492287.0002,191784,Patel Brothers
1454434,502566.0003,195177,Harris Teeter
1459802,498621.0003,199884,Harris Teeter
1467396,499342.0002,201265,Food Lion
1483043,503390.0003,204396,Aldi
1482638,504489.0001,204408,Minos Imported Foods Inc
1488630,501709.0004,209435,Harris Teeter Inc
1406305,497389.0002,211570,Target
1435889,490340.0002,214576,Food Lion
1440066,491852.0001,214598,Bi-Lo
1447040,491548.0004,217519,The Fresh Market
1438529,487347.0002,218023,BJ's Wholesale Club
1446681,479418.0003,219483,Harris Teeter
1449130,485187.0003,220168,Earth Fare 
1456671,479289.0003,220580,Bi-Lo
1456397,481707.0004,223973,Harris Teeter
1456554,481344.0001,223977,Target
1469882,483844.0004,224390,Harris Teeter
1466223,494782.0001,224741,Harris Teeter
1456107,488553.0001,227532,Trader Joe's
1482433,489359.0001,233387,Publix
1459222,473074.0002,235267,Harris Teeter
1458700,473501.0004,235278,Target
1469931,482034.0004,236741,The Fresh Market
1470054,478741.0004,236836,Harris Teeter
1505322,550909.0001,243910,Food Lion
1446396,532727.0004,246010,Food Lion
1426031,526738.0002,246574,Publix/Charlotte Division Office
1475412.386,567096.3571,249243,Walmart Supercenter
1458893.343,581465.6004,249324,Harris Teeter
1472272.958,559092.0188,252169,El Mariachi
1441137,637174.0001,252307,The Fresh Market
1476694,582160.0002,252551,Trader Joe's
1449417,544150.0001,252559,Harris Teeter
1443792.976,607131.6403,252776,Earth Fare
1435947.042,547699.8064,253468,Save-A-Lot
1446748.123,468911.171,257763,Harris Teeter
1445414.178,587605.306,257814,Target
1476933.883,550270.7146,258369,Wow Supermarket 2
1433953,509040.0002,258573,Compare Foods
1475204,535151.0001,264605,Compare Foods
1455005.28,595020.697,265829,Walmart Supercenter
1439377.476,488527.9126,266488,Sam's Club
1464324.799,581903.8023,267576,Food Lion
1496468,509943.0003,268695,Food Lion
1441084.645,493734.4209,269391,Aldi
1463441.68,565120.719,269806,Food Lion
1437409.37,585648.4496,270181,Food Lion
1419633,580476.0003,285628,Walmart Supercenter
1445332.379,570804.0702,286631,Aldi
1444328.552,502543.2264,291637,Harris Teeter
1481586,489568.0004,295081,Harris Teeter
1449432,642682.0003,295821,Healthy Home Market
1468090,494377.0003,296896,Charlotte Vitamins & Health
1473005,560631.0003,299310,Around the World Market
1467248,536468.0001,299488,CHEF'STORE
1508076.253,524614.1783,300006,Aldi
1471394.082,537558.4402,301432,Kim Anh Oriental Grocery & Gifts
1467572.59,595287.432,303298,Aldi
1467617,593043.0001,303340,Bi-Lo
1454332.108,531291.3526,315415,Harris Teeter
1477488,566798.0001,315777,Patel Brothers
1477488,566798.0001,315777,Patel Brothers
1473710.228,583902.5178,316061,Harris Teeter
1504111.099,521270.6853,319185,Publix 
1486178.95,503189.0716,319584,The Loyalist Market
1459322.196,539831.3008,320520,Harris Teeter
1452975.193,513634.7547,327507,Whole Foods Market
1488785.767,504776.6465,327517,Harris Teeter
1508663.709,524979.196,333662,Food Lion
1479971,509681.0002,334266,Food Lion
1444252.185,493494.5978,336017,Food Lion
1443812.263,493059.7946,336175,Walmart Neighborhood Market
1444924.469,571347.0852,337196,Food Lion
1467433.352,595464.7551,337420,Publix
1447500.84,635054.2009,340263,Harris Teeter
1468527,594920.0003,341439,Harris Teeter
1410337.204,519174.931,346745,Harris Teeter
1489160.869,580946.0338,347472,Walmart Neighborhood Market
1446388.137,475628.5197,347477,Publix
1451954.581,537799.0191,351159,BJ's Wholesale Club
1469360.778,532249.127,354065,Walmart Supercenter
1443283.42,539300.0151,354082,Pasta & Provisions
1447271.076,518902.3302,356069,Harris Teeter
1492163.453,573778.561,356405,Alsalam Market
1435479,621754.0001,356803,Harris Teeter
1482244.347,510025.7272,357786,Walmart Supercenter
1455670.186,527781.9666,361245,Pasta & Provisions
1451638.888,515774.071,361726,Reids Fine Foods
1447885.462,609698.247,362501,Food Lion 
1421292.387,579950.3715,364008,Harris Teeter
1404598.398,498479.0751,366019,Harris Teeter
1471121.204,479008.8496,368034,Whole Foods
1454704,517142.0004,375644,Earth Fare
1451762,537017.0003,375752,Trader Joe's
1466856.605,494879.9251,377031,Walmart
1454586,537698.0003,378207,Earl's Grocery
1463187,532536.0001,378247,Reid's Fine Foods
1410595,519144.0003,380794,Harris Teeter
1436733,518954.0003,383507,Costco
1448755,540281.0003,384700,Whole Foods
1480757.419,509777.5052,384869,A&A International Food
1447251.615,474737.3421,386729,Sprouts Farmers Market
1442613.143,533091.8553,388489,Harris Teeter
1465322.537,552945.5121,396332,International Supermarket
1465322.537,552945.5121,396332,Deekos African Market
1407109.007,571100.4321,397863,Food Lion 
1486609.726,571159.2745,397901,Gandhi India Market
1462242,524507.0004,480717,Publix
1450356,523485.0001,482601,Reids Fine Foods
1480695,518735.0001,496350,Super G Market
1443812.262,493059.7943,548003,Walmart Neighborhood Market
1474194.549,533702.2855,552286,Lucky Oriental Grocery
